Wavelength (nm),Si_Absorption_Coefficient (cm^-1)
505.80,17811.14
518.01,14820.76
527.16,12522.79
530.20,10105.93
543.96,10910.26
559.22,8670.79
583.65,6683.11
608.08,5311.32
635.56,3791.96
673.73,2686.57
714.96,1962.63
740.93,1658.32
763.83,1379.90
794.38,1096.66
823.39,871.55
844.76,682.13
883.70,472.31
902.78,381.15
921.10,307.59
934.83,240.74
950.08,159.20
966.84,100.55
985.14,65.49
1006.50,42.65
1026.32,27.35
1047.67,17.01
1072.05,8.16
1105.58,3.06
1120.06,2.10
1136.05,1.11
