Wavelength (µm), Solar Spectrum Radiation Distribution ([W/m^2/µm])
3.138000000000000234e-01,1.131000000000000050e+01
3.205000000000000071e-01,1.080000000000000000e+02
3.306999999999999940e-01,2.046999999999999886e+02
3.408999999999999808e-01,2.760000000000000000e+02
3.543999999999999928e-01,3.371000000000000227e+02
3.679000000000000048e-01,3.931999999999999886e+02
3.713000000000000189e-01,4.288000000000000114e+02
3.882999999999999785e-01,4.696999999999999886e+02
3.950000000000000178e-01,5.511000000000000227e+02
3.983999999999999764e-01,6.477999999999999545e+02
4.086000000000000187e-01,7.902000000000000455e+02
4.086000000000000187e-01,8.360000000000000000e+02
4.220999999999999752e-01,8.717000000000000455e+02
4.323000000000000176e-01,8.667000000000000455e+02
4.390999999999999903e-01,9.532999999999999545e+02
4.491999999999999882e-01,1.121000000000000000e+03
4.526000000000000023e-01,1.187000000000000000e+03
4.593999999999999750e-01,1.213000000000000000e+03
4.694999999999999729e-01,1.228000000000000000e+03
4.797000000000000153e-01,1.264000000000000000e+03
4.864999999999999880e-01,1.238000000000000000e+03
5.000000000000000000e-01,1.249000000000000000e+03
5.101999999999999869e-01,1.229000000000000000e+03
5.169000000000000261e-01,1.208000000000000000e+03
5.271000000000000130e-01,1.224000000000000000e+03
5.473999999999999977e-01,1.183000000000000000e+03
5.542000000000000259e-01,1.178000000000000000e+03
5.608999999999999542e-01,1.168000000000000000e+03
5.711000000000000520e-01,1.183000000000000000e+03
5.813000000000000389e-01,1.189000000000000000e+03
5.947999999999999954e-01,1.179000000000000000e+03
6.150999999999999801e-01,1.164000000000000000e+03
6.421999999999999931e-01,1.154000000000000000e+03
6.591000000000000192e-01,1.139000000000000000e+03
6.794999999999999929e-01,1.118000000000000000e+03
6.895999999999999908e-01,1.103000000000000000e+03
6.997999999999999776e-01,1.058000000000000000e+03
7.065000000000000169e-01,1.083000000000000000e+03
7.133000000000000451e-01,1.068000000000000000e+03
7.167000000000000037e-01,9.153999999999999773e+02
7.179999999999999716e-01,1.027000000000000000e+03
7.199999999999999734e-01,9.815000000000000000e+02
7.203000000000000513e-01,7.476000000000000227e+02
7.235000000000000320e-01,8.646000000000000227e+02
7.268999999999999906e-01,8.342000000000000455e+02
7.301999999999999602e-01,8.697999999999999545e+02
7.336000000000000298e-01,9.461000000000000227e+02
7.369999999999999885e-01,9.766000000000000227e+02
7.506000000000000449e-01,9.971000000000000227e+02
7.540000000000000036e-01,9.107000000000000455e+02
7.572999999999999732e-01,8.547999999999999545e+02
7.607000000000000428e-01,7.988999999999999773e+02
7.641000000000000014e-01,6.871000000000000227e+02
7.674999999999999600e-01,8.396000000000000227e+02
7.709000000000000297e-01,9.617000000000000455e+02
7.711999999999999966e-01,9.210000000000000000e+02
7.810000000000000275e-01,9.567000000000000455e+02
7.945999999999999730e-01,9.060000000000000000e+02
8.014000000000000012e-01,8.807000000000000455e+02
8.110000000000000542e-01,8.706000000000000227e+02
8.114999999999999991e-01,7.842000000000000455e+02
8.116999999999999771e-01,8.452000000000000455e+02
8.135000000000000009e-01,8.096000000000000227e+02
8.148999999999999577e-01,7.587999999999999545e+02
8.151000000000000467e-01,6.773999999999999773e+02
8.155000000000000027e-01,7.130000000000000000e+02
8.159999999999999476e-01,7.333999999999999773e+02
8.216999999999999860e-01,7.131000000000000227e+02
8.317999999999999838e-01,7.182999999999999545e+02
8.352000000000000535e-01,7.692000000000000455e+02
8.386000000000000121e-01,7.997000000000000455e+02
8.487999999999999989e-01,8.252000000000000455e+02
8.690999999999999837e-01,8.051000000000000227e+02
8.860000000000000098e-01,7.797999999999999545e+02
8.928000000000000380e-01,7.137999999999999545e+02
8.961999999999999966e-01,6.427000000000000455e+02
8.994999999999999662e-01,5.817000000000000455e+02
9.062999999999999945e-01,5.360000000000000000e+02
9.131000000000000227e-01,4.903000000000000114e+02
9.164999999999999813e-01,5.310000000000000000e+02
9.164999999999999813e-01,5.920000000000000000e+02
9.233000000000000096e-01,5.361000000000000227e+02
9.265999999999999792e-01,4.955000000000000000e+02
9.265999999999999792e-01,4.293999999999999773e+02
9.300000000000000488e-01,3.683999999999999773e+02
9.334000000000000075e-01,2.768999999999999773e+02
9.334000000000000075e-01,1.905000000000000000e+02
9.402000000000000357e-01,2.566999999999999886e+02
9.435999999999999943e-01,2.821000000000000227e+02
9.536999999999999922e-01,2.516999999999999886e+02
9.570999999999999508e-01,3.076999999999999886e+02
9.605000000000000204e-01,3.788999999999999773e+02
9.638999999999999790e-01,4.501000000000000227e+02
9.707000000000000073e-01,5.010000000000000000e+02
9.774000000000000465e-01,5.570000000000000000e+02
9.841999999999999638e-01,6.181000000000000227e+02
1.000999999999999890e+00,5.928999999999999773e+02
1.024999999999999911e+00,5.523999999999999773e+02
1.058999999999999941e+00,4.968000000000000114e+02
1.092999999999999972e+00,4.513999999999999773e+02
1.098999999999999977e+00,4.668000000000000114e+02
1.102999999999999980e+00,4.210000000000000000e+02
1.106000000000000094e+00,3.753000000000000114e+02
1.108999999999999986e+00,3.346999999999999886e+02
1.112999999999999989e+00,2.686000000000000227e+02
1.120000000000000107e+00,1.720000000000000000e+02
1.129999999999999893e+00,1.110999999999999943e+02
1.143000000000000016e+00,1.469000000000000057e+02
1.159999999999999920e+00,2.538000000000000114e+02
1.169999999999999929e+00,3.200000000000000000e+02
1.173999999999999932e+00,3.506000000000000227e+02
1.187000000000000055e+00,3.608999999999999773e+02
1.191000000000000059e+00,3.913999999999999773e+02
1.217999999999999972e+00,3.611999999999999886e+02
1.235000000000000098e+00,3.663999999999999773e+02
1.262000000000000011e+00,3.108000000000000114e+02
1.278999999999999915e+00,3.211000000000000227e+02
1.292000000000000037e+00,3.111000000000000227e+02
1.308999999999999941e+00,2.756999999999999886e+02
1.318999999999999950e+00,2.249000000000000057e+02
1.330000000000000071e+00,1.690999999999999943e+02
1.350000000000000089e+00,1.134000000000000057e+02
1.366999999999999993e+00,5.760999999999999943e+01
1.379999999999999893e+00,6.897999999999999687e+00
1.427999999999999936e+00,3.279999999999999716e+01
1.455000000000000071e+00,6.867000000000000171e+01
1.467999999999999972e+00,6.372999999999999687e+01
1.489000000000000101e+00,1.097000000000000028e+02
1.516000000000000014e+00,1.710000000000000000e+02
1.540000000000000036e+00,2.271999999999999886e+02
1.566999999999999948e+00,2.173000000000000114e+02
1.586999999999999966e+00,2.124000000000000057e+02
1.606999999999999984e+00,2.024000000000000057e+02
1.627999999999999892e+00,2.025999999999999943e+02
1.651000000000000023e+00,1.875999999999999943e+02
1.677999999999999936e+00,1.675999999999999943e+02
1.701999999999999957e+00,1.626999999999999886e+02
1.735999999999999988e+00,1.529000000000000057e+02
1.772999999999999909e+00,1.329000000000000057e+02
1.796999999999999931e+00,1.027000000000000028e+02
1.830999999999999961e+00,5.215999999999999659e+01
1.858000000000000096e+00,1.175000000000000000e+01
1.945999999999999952e+00,3.807000000000000028e+01
1.989999999999999991e+00,5.885999999999999943e+01
2.013999999999999790e+00,7.434999999999999432e+01
2.051000000000000156e+00,7.473000000000000398e+01
2.088000000000000078e+00,7.510999999999999943e+01
2.121999999999999886e+00,7.545999999999999375e+01
2.149000000000000021e+00,7.065000000000000568e+01
2.220000000000000195e+00,7.137000000000000455e+01
2.294999999999999929e+00,7.212999999999999545e+01
